direction,entry_time,exit_time,entry_price,exit_price,contracts,stop_points,pnl_per_contract,pnl,fees,exit_reason,days_in_trade,account_value,risk_dollars,risk_pct,account_value_entry,scenario
long,2026-03-02 10:05:00,2026-03-02 10:25:00,24958.5,24858.5,4,100.0,-2045.0,-8180.0,20.0,stop,1,986390.0,8000.0,0.8043677167016902,994570.0,STRESS
long,2026-03-02 10:35:00,2026-03-02 20:00:00,24958.5,24858.5,4,100.0,-2045.0,-8180.0,20.0,stop,2,978210.0,8000.0,0.8110382303145816,986390.0,STRESS
long,2026-03-03 10:45:00,2026-03-03 21:20:00,24661.25,24561.25,4,100.0,-2045.0,-8180.0,20.0,stop,2,970030.0,8000.0,0.8178203044336083,978210.0,STRESS
long,2026-03-04 10:00:00,2026-03-04 19:55:00,25148.5,25048.5,4,100.0,-2045.0,-8180.0,20.0,stop,2,961850.0,8000.0,0.8247167613372783,970030.0,STRESS
short,2026-03-05 11:25:00,2026-03-05 14:30:00,24930.5,24984.5,4,100.0,-1125.0,-4500.0,20.0,eod_short,1,957350.0,8000.0,0.831730519311743,961850.0,STRESS
long,2026-03-06 10:00:00,2026-03-06 10:20:00,24893.25,24793.25,4,100.0,-2045.0,-8180.0,20.0,stop,1,949170.0,8000.0,0.8356400480493027,957350.0,STRESS
long,2026-03-06 10:45:00,2026-03-06 11:25:00,24893.25,24793.25,4,100.0,-2045.0,-8180.0,20.0,stop,1,940990.0,8000.0,0.8428416405912533,949170.0,STRESS
long,2026-03-09 10:00:00,2026-03-09 14:15:00,24585.5,24785.5,4,100.0,3955.0,15820.0,20.0,target,1,956810.0,8000.0,0.8501684396221001,940990.0,STRESS
long,2026-03-09 14:20:00,2026-03-09 14:30:00,24792.75,24992.75,4,100.0,3955.0,15820.0,20.0,target,1,972630.0,8000.0,0.8361116627125553,956810.0,STRESS
long,2026-03-10 10:00:00,2026-03-10 13:10:00,25152.75,25052.75,4,100.0,-2045.0,-8180.0,20.0,stop,1,964450.0,8000.0,0.8225121577578318,972630.0,STRESS
short,2026-03-11 10:10:00,2026-03-11 14:30:00,24958.25,24968.0,4,100.0,-240.0,-960.0,20.0,eod_short,1,963490.0,8000.0,0.8294883093991394,964450.0,STRESS
short,2026-03-12 10:10:00,2026-03-12 10:35:00,24572.5,24672.5,4,100.0,-2045.0,-8180.0,20.0,stop,1,955310.0,8000.0,0.8303147930959326,963490.0,STRESS
short,2026-03-12 14:10:00,2026-03-12 14:30:00,24572.5,24626.25,4,100.0,-1120.0,-4480.0,20.0,eod_short,1,950830.0,8000.0,0.8374245009473366,955310.0,STRESS
short,2026-03-13 10:00:00,2026-03-13 14:30:00,24482.0,24378.5,4,100.0,2025.0,8100.0,20.0,eod_short,1,958930.0,8000.0,0.8413701713240012,950830.0,STRESS
short,2026-03-16 11:30:00,2026-03-16 12:00:00,24833.25,24933.25,4,100.0,-2045.0,-8180.0,20.0,stop,1,950750.0,8000.0,0.8342631891796064,958930.0,STRESS
long,2026-03-16 14:05:00,2026-03-16 14:25:00,24980.0,24880.0,4,100.0,-2045.0,-8180.0,20.0,stop,1,942570.0,8000.0,0.8414409676571128,950750.0,STRESS
short,2026-03-17 10:35:00,2026-03-17 14:30:00,24964.0,25002.25,4,100.0,-810.0,-3240.0,20.0,eod_short,1,939330.0,8000.0,0.8487433294078954,942570.0,STRESS
short,2026-03-18 12:00:00,2026-03-18 13:00:00,24811.75,24911.75,4,100.0,-2045.0,-8180.0,20.0,stop,1,931150.0,8000.0,0.8516708717915961,939330.0,STRESS
short,2026-03-18 13:30:00,2026-03-18 14:30:00,24811.75,24734.75,4,100.0,1495.0,5980.0,20.0,eod_short,1,937130.0,8000.0,0.859152660688396,931150.0,STRESS
long,2026-03-19 10:05:00,2026-03-19 10:25:00,24546.75,24446.75,4,100.0,-2045.0,-8180.0,20.0,stop,1,928950.0,8000.0,0.853670248524751,937130.0,STRESS
long,2026-03-19 14:00:00,2026-03-20 04:45:00,24546.75,24446.75,4,100.0,-2045.0,-8180.0,20.0,stop,2,920770.0,8000.0,0.8611873620754615,928950.0,STRESS
short,2026-03-20 12:05:00,2026-03-20 14:30:00,24231.25,24031.25,4,100.0,3955.0,15820.0,20.0,target,1,936590.0,8000.0,0.8688380377292918,920770.0,STRESS
long,2026-03-23 10:10:00,2026-03-23 10:35:00,24688.25,24588.25,4,100.0,-2045.0,-8180.0,20.0,stop,1,928410.0,8000.0,0.8541624403420921,936590.0,STRESS
short,2026-03-23 10:50:00,2026-03-23 13:35:00,24432.5,24532.5,4,100.0,-2045.0,-8180.0,20.0,stop,1,920230.0,8000.0,0.8616882627287513,928410.0,STRESS
long,2026-03-24 10:15:00,2026-03-24 12:00:00,24343.0,24243.0,4,100.0,-2045.0,-8180.0,20.0,stop,1,912050.0,8000.0,0.8693478804211989,920230.0,STRESS
long,2026-03-24 13:35:00,2026-03-24 14:30:00,24343.0,24243.0,4,100.0,-2045.0,-8180.0,20.0,stop,1,903870.0,8000.0,0.8771448933720739,912050.0,STRESS
short,2026-03-25 10:15:00,2026-03-25 10:25:00,24327.5,24427.5,4,100.0,-2045.0,-8180.0,20.0,stop,1,895690.0,8000.0,0.8850830318519256,903870.0,STRESS
short,2026-03-25 13:55:00,2026-03-25 14:30:00,24327.5,24343.0,4,100.0,-355.0,-1420.0,20.0,eod_short,1,894270.0,8000.0,0.8931661623999375,895690.0,STRESS
short,2026-03-26 11:15:00,2026-03-26 14:05:00,24030.25,23830.25,4,100.0,3955.0,15820.0,20.0,target,1,910090.0,8000.0,0.8945844096302011,894270.0,STRESS
short,2026-03-26 14:10:00,2026-03-26 14:30:00,23836.75,23821.75,4,100.0,255.0,1020.0,20.0,eod_short,1,911110.0,8000.0,0.8790339416980738,910090.0,STRESS
short,2026-03-27 12:15:00,2026-03-27 14:30:00,23440.0,23347.5,4,100.0,1805.0,7220.0,20.0,eod_short,1,918330.0,8000.0,0.8780498512803065,911110.0,STRESS
short,2026-03-30 12:00:00,2026-03-30 14:10:00,23262.25,23062.25,4,100.0,3955.0,15820.0,20.0,target,1,934150.0,8000.0,0.8711465377369791,918330.0,STRESS
short,2026-03-30 14:15:00,2026-03-30 14:30:00,23045.75,23029.5,4,100.0,280.0,1120.0,20.0,eod_short,1,935270.0,8000.0,0.8563935128191403,934150.0,STRESS
long,2026-03-31 11:35:00,2026-03-31 11:40:00,23587.75,23787.75,4,100.0,3955.0,15820.0,20.0,target,1,951090.0,8000.0,0.8553679686079955,935270.0,STRESS
long,2026-03-31 11:45:00,2026-03-31 18:25:00,23779.5,23979.5,4,100.0,3955.0,15820.0,20.0,target,2,966910.0,8000.0,0.8411401654943276,951090.0,STRESS
long,2026-04-01 10:00:00,2026-04-01 13:20:00,24270.0,24170.0,4,100.0,-2045.0,-8180.0,20.0,stop,1,958730.0,8000.0,0.8273779358988944,966910.0,STRESS
short,2026-04-06 12:10:00,2026-04-06 13:20:00,24245.75,24345.75,4,100.0,-2045.0,-8180.0,20.0,stop,1,950550.0,8000.0,0.8344372242445737,958730.0,STRESS
short,2026-04-07 10:00:00,2026-04-07 10:55:00,23994.0,24094.0,4,100.0,-2045.0,-8180.0,20.0,stop,1,942370.0,8000.0,0.8416180106254273,950550.0,STRESS
