sample,entry_model,risk_rule,vol_floor_k,target_r,years,total_trades_primary,weighted_avg_gross_R_primary,weighted_avg_net_R_primary,annual_median_net_R_primary,positive_years_primary,median_annual_pf_primary,min_annual_net_R_primary,max_annual_net_R_primary,weighted_avg_net_R_spread010,weighted_avg_net_R_spread012,weighted_avg_net_R_stress,positive_years_stress,median_annual_pf_stress,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,survives_vantage_gate
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,1.0,15,755,0.06450370461952955,0.03168345015255504,0.054297291461289,9,1.1292913793780603,-0.1837322299823381,0.3781509788350853,0.03829332263212757,0.02829622166100301,-0.0106316059388527,8,1.0699699268176834,True,True,True,False,True,True,False,True,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,3.0,15,17430,0.0668376610715146,0.031259678160113026,0.027930081957028,11,1.0521800680048747,-0.0804417393932013,0.1586224705937549,0.0353356672934829,0.02655334606874732,-0.019071936592738783,6,0.9773223889460748,True,True,True,True,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,2.0,15,755,0.05713404981167227,0.030568457120238552,0.0456079776661621,9,1.0816575685399377,-0.275817677765218,0.4292156717933627,0.03603995668484234,0.026463749837677984,-0.0007367776560119268,6,0.9423904393938524,True,True,True,False,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,2.0,15,755,0.0628100836875541,0.02998982922057957,0.0503748433370308,8,1.0954104410737802,-0.3649742799091935,0.5198188373650323,0.039133393213096626,0.02475845817995405,-0.013777686965887425,8,1.0684267526559086,True,True,True,False,True,True,False,True,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,3.0,15,755,0.05423855964337698,0.027672966951943247,-0.0037308273702296,7,0.9935373563120204,-0.2070196861186541,0.4739942394567544,0.02953711062969565,0.02637066844508951,0.004260815890420385,7,0.980389395071274,True,True,False,False,False,True,True,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,2.5,15,17430,0.06318345708845732,0.027605474177055712,0.0279480752637354,11,1.0563971809339667,-0.0698921705448078,0.1419364070422157,0.03305391565388814,0.021667222632534434,-0.020378640882090508,6,0.9816320449611232,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.5,15,13892,0.05024257500729396,0.02552286068451334,0.0251908648629973,11,1.0578528948860983,-0.0762368763629862,0.1066362344748006,0.030158841614602857,0.020032853514534602,-0.016732577921413073,5,0.9546187090273198,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,15,13892,0.05005692440481167,0.02533721008203107,0.0318427412362156,12,1.0843667027937185,-0.0839159893271546,0.0941516590236246,0.027805223232664177,0.02182423237691675,-0.016154433674779995,6,0.9880069639746074,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,1.0,15,17430,0.05475606202994989,0.025273074544303484,0.0272613636902933,12,1.0694633195251213,-0.092623329066462,0.1002877505545877,0.0289583748793989,0.021091304973553007,-0.01890991961763441,5,0.97254634477047,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,3.0,15,13892,0.049879115695171845,0.025159401372391227,0.0119321118633531,10,1.0250147958827596,-0.0812168472488622,0.1392878018760661,0.030618397263407513,0.020823152930833217,-0.01492988228975971,6,0.9561445089960529,True,True,True,True,True,True,False,False,False
